cpse,legacy_code,description,category,specification,uom
NTPC,NTPC/VLV/1007,Gate Valve 100mm CS Class 150 RF,Valve,"CS, 150#, Flanged",NOS
ONGC,ONGC-PMP-1003,VERTICAL TURBINE PUMP 200MM,Pump,"200mm column, 75kW",SET
IOCL,IOCL-PMP-1005,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
CIL,CIL-PIP-1003,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",NOS
CPCL,CPCL_MTR_1003,Flameproof  Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",PCS
SAIL,SAIL-VLV-1006,Safety Relief Valve 50mm SS,Valve,"SS, Set 10 barg, Flanged",EA
SAIL,SAIL_PIP_1009,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",M
NTPC,NTPC/PIP/1013,GI - Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
SAIL,SAIL/CBL/1014,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
ONGC,ONGC-PMP-1007,SCREW PUMP 5M3/HR SS,Pump,"5 m3/hr, SS wetted",EA
CPCL,CPCL/VLV/1005,Diaphragm Valve 80 MM PP,Valve,"PP body, EPDM diaphragm",NOS
ONGC,ONGC-VLV-1009,GATE VALVE 100MM CS CL 150,Valve,"CS, 150#, Flanged",EA
CIL,CIL-VLV-1007,Plug VLV 100mm CS PTFE,Valve,"CS+PTFE sleeve, 150#",EA
CPCL,CPCL/MTR/1010,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",EA
CPCL,CPCL_FLG_1011,Blind Flange 50 MM 300# SS316,Flange,"50 NB, 300#, SS316",NOS
IOCL,IOCL/BRG/1009,Needle Roller Bearing NK45/35,Bearing,45x55x35,PCS
IOCL,IOCL-VLV-1012,Ball Valve 3 Inch SS304 Class 300,Valve,"SS304, Class 300, Screwed",
SAIL,SAIL_FLG_1016,Blind Flange 50mm 300# AISI 316,,"50 NB, 300#, SS316",EA
CPCL,CPCL/VLV/1012,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",NOS
CIL,CIL_PMP_1009,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
SAIL,SAIL_VLV_1018,Butterfly Valve 200mm CI PN16,Valve,"CI, PN16, Wafer",NOS
CPCL,CPCL_VLV_1013,Gate Valve 200 MM CI PN10,Valve,"CI, PN10, Flanged",PCS
ONGC,ONGC_VLV_1011,GATE VALVE 100MM CS CL 150,Valve,"CS, 150#, Flanged",EA
ONGC,ONGC/MTR/1017,INDUCTION MOTOR 15KW 4P IE3,Motor,"15kW, 4P, 415V, IE3",PCS
CIL,CIL-MTR-1016,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",EA
IOCL,IOCL/FLG/1019,Slipon  Flange 3 Inch PN16,Flange,"80 NB, PN16, MS",PCS
CIL,CIL/PIP/1020,CS Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",NOS
CIL,CIL-PMP-1023,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",NOS
