cpse,legacy_code,qty,unit_price_inr,year,note
IOCL,IOCL-VLV-1276,131,96664,2024,DEMO / SIMULATED
NTPC,NTPC_PMP_1477,127,215125,2026,DEMO / SIMULATED
ONGC,ONGC_VLV_1446,101,208956,2026,DEMO / SIMULATED
NTPC,NTPC/VLV/1171,26,94731,2023,DEMO / SIMULATED
IOCL,IOCL-CBL-1911,474,242267,2026,DEMO / SIMULATED
CIL,CIL-VLV-1099,420,221945,2023,DEMO / SIMULATED
CIL,CIL-PMP-1835,439,137073,2023,DEMO / SIMULATED
IOCL,IOCL/VLV/1484,344,172452,2025,DEMO / SIMULATED
NTPC,NTPC/PMP/1457,471,139038,2026,DEMO / SIMULATED
SAIL,SAIL/PMP/1813,392,144030,2024,DEMO / SIMULATED
SAIL,SAIL_PMP_1656,149,84769,2024,DEMO / SIMULATED
NTPC,NTPC_GSK_1308,234,200952,2024,DEMO / SIMULATED
CPCL,CPCL_BRG_1568,154,248328,2026,DEMO / SIMULATED
IOCL,IOCL/BRG/1252,211,114869,2026,DEMO / SIMULATED
SAIL,SAIL_VLV_1345,47,129372,2023,DEMO / SIMULATED
CPCL,CPCL_PIP_2092,256,28146,2025,DEMO / SIMULATED
SAIL,SAIL-VLV-1648,292,127705,2026,DEMO / SIMULATED
IOCL,IOCL-VLV-1446,161,131246,2025,DEMO / SIMULATED
IOCL,IOCL-VLV-1429,399,180120,2023,DEMO / SIMULATED
CPCL,CPCL-GSK-1687,275,218709,2023,DEMO / SIMULATED
CPCL,CPCL_VLV_1541,101,248992,2023,DEMO / SIMULATED
SAIL,SAIL-PMP-1194,162,234656,2024,DEMO / SIMULATED
SAIL,SAIL_PMP_1215,333,83022,2023,DEMO / SIMULATED
NTPC,NTPC_PMP_1480,278,8130,2023,DEMO / SIMULATED
ONGC,ONGC/BRG/1028,499,80215,2026,DEMO / SIMULATED
IOCL,IOCL_VLV_1121,101,93013,2023,DEMO / SIMULATED
NTPC,NTPC/VLV/1309,426,217172,2026,DEMO / SIMULATED
SAIL,SAIL/CBL/1769,383,134067,2024,DEMO / SIMULATED
SAIL,SAIL_PMP_1426,265,98009,2023,DEMO / SIMULATED
NTPC,NTPC-VLV-1738,471,57028,2023,DEMO / SIMULATED
ONGC,ONGC_VLV_2031,239,249827,2024,DEMO / SIMULATED
ONGC,ONGC-FLG-1960,461,58882,2025,DEMO / SIMULATED
ONGC,ONGC/VLV/1786,42,187979,2024,DEMO / SIMULATED
CPCL,CPCL-PMP-1466,258,54994,2023,DEMO / SIMULATED
NTPC,NTPC/VLV/1822,28,242519,2026,DEMO / SIMULATED
CIL,CIL-VLV-1689,110,236813,2023,DEMO / SIMULATED
CIL,CIL/PMP/1211,478,76937,2023,DEMO / SIMULATED
ONGC,ONGC-VLV-1566,468,63816,2025,DEMO / SIMULATED
CIL,CIL/VLV/1800,95,103014,2024,DEMO / SIMULATED
IOCL,IOCL_VLV_1886,195,241339,2026,DEMO / SIMULATED
CIL,CIL_BRG_1081,27,41675,2024,DEMO / SIMULATED
IOCL,IOCL/FLG/1242,311,65332,2025,DEMO / SIMULATED
ONGC,ONGC/VLV/1146,456,242543,2026,DEMO / SIMULATED
NTPC,NTPC_PMP_1995,353,150363,2025,DEMO / SIMULATED
NTPC,NTPC-VLV-1858,109,247286,2025,DEMO / SIMULATED
IOCL,IOCL-VLV-1830,214,181753,2023,DEMO / SIMULATED
CIL,CIL/VLV/1501,217,216689,2026,DEMO / SIMULATED
IOCL,IOCL/VLV/1331,198,73698,2024,DEMO / SIMULATED
IOCL,IOCL/VLV/1194,423,205069,2026,DEMO / SIMULATED
IOCL,IOCL-VLV-1906,134,158120,2023,DEMO / SIMULATED
IOCL,IOCL-PIP-1437,325,182340,2026,DEMO / SIMULATED
IOCL,IOCL_GSK_1672,26,183252,2026,DEMO / SIMULATED
ONGC,ONGC-PIP-1507,70,174591,2024,DEMO / SIMULATED
CIL,CIL_VLV_1484,41,167942,2023,DEMO / SIMULATED
NTPC,NTPC-VLV-1218,64,42460,2026,DEMO / SIMULATED
SAIL,SAIL/CBL/1537,39,48866,2025,DEMO / SIMULATED
ONGC,ONGC-VLV-1167,90,248133,2025,DEMO / SIMULATED
CIL,CIL-PMP-1383,494,179295,2026,DEMO / SIMULATED
SAIL,SAIL/VLV/1807,150,141377,2025,DEMO / SIMULATED
CPCL,CPCL/PMP/1859,150,225066,2025,DEMO / SIMULATED
ONGC,ONGC-BRG-1127,60,200288,2023,DEMO / SIMULATED
